定性,準正,認領,col,col_2,col_3,收養,col_8,col_9,col_10
,,一般(任意)認領,擬制(生父撫育)認領,強制(判決)認領,死後強制(判決)認領,未成年(未滿七歲)收養,未成年(滿七歲)收養,成年人收養,遺囑收養
關係生效,"《民法》第1064條
「非婚生子女，其生父與生母結婚者，視為婚生子女。｣","《民法》第1065條第2項
「非婚生子女與其生母之關係，視為婚生子女，無須認領。」

《民法》第1070條
「生父認領非婚生子女後，不得撤銷其認領。」",,,,"《民法》第1073條
「收養者之年齡，應長於被收養者二十歲以上。但夫妻共同收養時，夫妻之一方長於被收養者二十歲以上，而他方僅長於被收養者十六歲以上，亦得收養。夫妻之一方收養他方之子女時，應長於被收養者十六歲以上。」

《民法》第1074條
「夫妻收養子女時，應共同為之。但有下列各款情形之一者，得單獨收養：一、夫妻之一方收養他方之子女。二、夫妻之一方不能為意思表示或生死不明已逾三年。」

《民法》第1075條
「除夫妻共同收養外，一人不得同時為二人之養子女。」

《民法》第1076-1條第1項
「子女被收養時，應得其父母之同意。但有下列各款情形之一者，不在此限：一、父母之一方或雙方對子女未盡保護教養義務或有其他顯然不利子女之情事而拒絕同意。二、父母之一方或雙方事實上不能為意思表示。」

《民法》第1079條(前段)
「收養應以書面為之，並向法院聲請認可。」

《民法》第1079-3條
「收養自法院認可裁定確定時，溯及於收養契約成立時發生效力。但第三人已取得之權利，不受影響。」

《民法》第1080條第7但,8項
「VIII.夫妻之一方依前項但書規定單獨終止收養者，其效力不及於他方。」",,,x
,,"《民法》第1065條第1項(前段)
「非婚生子女經由生父認領者，視為婚生子女。」","《民法》第1065條第1項(後段)
「其經生父撫育者，視為認領。」","《民法》第1067條(前段)
「有事實足認其為非婚生子女之生父者，非婚生子女或其生母或其他法定代理人，得向生父提起認領之訴。」","《民法》第1067條(後段)
「前項認領之訴，於生父死亡後，得向生父之繼承人為之。生父無繼承人者，得向社會福利主管機關為之。」","《民法》第1076-2條第1,3款
「I.被收養者未滿七歲時，應由其法定代理人代為並代受意思表示。III.被收養者之父母已依前二項規定以法定代理人之身分代為並代受意思表示或為同意時，得免依前條規定為同意。」

《民法》第1079-1條
「法院為未成年人被收養之認可時，應依養子女最佳利益為之。」","《民法》第1076-2條第2,3款
「II.滿七歲以上之未成年人被收養時，應得其法定代理人之同意。III.被收養者之父母已依前二項規定以法定代理人之身分代為並代受意思表示或為同意時，得免依前條規定為同意。」

《民法》第1079-1條
「法院為未成年人被收養之認可時，應依養子女最佳利益為之。」","《民法》第1076條
「夫妻之一方被收養時，應得他方之同意。但他方不能為意思表示或生死不明已逾三年者，不在此限。」",x
關係終止,「準正」身分，根本在於與生父母之間真實血緣關係，而非僅因父母婚姻關係之存續。若婚姻因根本沒有血緣關係的詐欺而撤銷，準正身分方得因血緣問題而受影響。,"《民法》第1066條	
「非婚生子女或其生母，對於父之認領，得否認之。」

《民法》第1070條但書
「但有事實足認其非生父者，不在此限。」",,,,"《民法》第1073-1條
「下列親屬不得收養為養子女：一、直系血親。二、直系姻親。但夫妻之一方，收養他方之子女者，不在此限。三、旁系血親在六親等以內及旁系姻親在五親等以內，輩分不相當者。」

《民法》第1075條
「除夫妻共同收養外，一人不得同時為二人之養子女。」

《民法》第1079條(後段)
「收養有無效、得撤銷之原因或違反其他法律規定者，法院應不予認可。」

《民法》第1079-4條(前段)
「收養子女，違反第一千零七十三條、第一千零七十三條之一、第一千零七十五條、第一千零七十六條之一之規定者，無效。」

《民法》第1080條第1,2,7項
「I.養父母與養子女之關係，得由雙方合意終止之。II.前項終止，應以書面為之。VII.夫妻共同收養子女者，其合意終止收養應共同為之。但有下列情形之一者，得單獨終止：一、夫妻之一方不能為意思表示或生死不明已逾三年。二、夫妻之一方於收養後死亡。三、夫妻離婚。」

《民法》第1081第1項
「I.養父母、養子女之一方，有下列各款情形之一者，法院得依他方、主管機關或利害關係人之請求，宣告終止其收養關係：一、對於他方為虐待或重大侮辱。二、遺棄他方。三、因故意犯罪，受二年有期徒刑以上之刑之裁判確定而未受緩刑宣告。四、有其他重大事由難以維持收養關係。」",,,x
,,,,,,"《民法》第1080條第2,3,4,5項
「II.養子女為未成年人者，並應向法院聲請認可。III.法院依前項規定為認可時，應依養子女最佳利益為之。IV.養子女為未成年人者，終止收養自法院認可裁定確定時發生效力。V.養子女未滿七歲者，其終止收養關係之意思表示，由收養終止後為其法定代理人之人為之。」

《民法》第1081條第2項
「II.養子女為未成年人者，法院宣告終止收養關係時，應依養子女最佳利益為之。」","《民法》第1079-4條(後段)
「收養子女，違反第一千零七十六條之二第一項或第一千零七十九條第一項之規定者，無效。」

《民法》第1080條第2,3,4,6項
「II.養子女為未成年人者，並應向法院聲請認可。III.法院依前項規定為認可時，應依養子女最佳利益為之。IV.養子女為未成年人者，終止收養自法院認可裁定確定時發生效力。VI.養子女為滿七歲以上之未成年人者，其終止收養關係，應得收養終止後為其法定代理人之人之同意。」

《民法》第1081條第2項
「II.養子女為未成年人者，法院宣告終止收養關係時，應依養子女最佳利益為之。」","《民法》第1079-2條
「被收養者為成年人而有下列各款情形之一者，法院應不予收養之認可：一、意圖以收養免除法定義務。二、依其情形，足認收養於其本生父母不利。三、有其他重大事由，足認違反收養目的。」",x
