"pbc_id","client_pbc_name","reviewed_name","pbc_spec","pbc_kind","pbc_file_format","related_pbc_ids","iuc_or_system","cycle","source","notes","updated_at"
"PBC-EC-082","Linux作業系統_預設帳號停用_系統畫面","Linux作業系統_預設帳號停用_系統畫面","1.與PBC#59「作業系統權限帳號首次設定之預設密碼變更_畫面」相關。
2. 請檢附覆核紀錄。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-059；PBC-EC-058","Linux作業系統_預設帳號停用_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-083","Oracle ERP-FINANCE 權限帳號_存取覆核紀錄","Oracle ERP-FINANCE 權限帳號_存取覆核紀錄","1.與PBC#38「應用系統之作業系統 audit log」相關。
2.請檢附覆核紀錄；若無，請說明權責主管檢查存取紀錄方式與頻率。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-038","Oracle ERP-FINANCE 權限帳號_存取覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-084","Oracle MIS 權限帳號_存取覆核紀錄","Oracle MIS 權限帳號_存取覆核紀錄","1.與PBC#38「應用系統之作業系統 audit log」相關。
2.請檢附覆核紀錄；若無，請說明權責主管檢查存取紀錄方式與頻率。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-038","Oracle MIS 權限帳號_存取覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-085","Oracle作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","Oracle作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","1. (若有設定log追蹤)請提供
2. 請檢附覆核紀錄。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"","Oracle作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-086","Linux作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","Linux作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","1. (若有設定log追蹤)請提供
2. 請檢附覆核紀錄。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"","Linux作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-087","EPF DB (Microsoft)_權限帳號(admin)_存取覆核紀錄","EPF DB (Microsoft)_權限帳號(admin)_存取覆核紀錄","1.與PBC#39「資料庫管理系統 audit log」相關。
2.請檢附覆核紀錄；若無，請說明權責主管檢查存取紀錄方式與頻率。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-039","EPF DB (Microsoft)_權限帳號(admin)_存取覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-088","EPF DB2 (Oracle)_權限帳號(admin)_存取日誌(access log)覆核紀錄","EPF DB2 (Oracle)_權限帳號(admin)_存取日誌(access log)覆核紀錄","1.與PBC#39「資料庫管理系統 audit log」相關。
2.請檢附覆核紀錄；若無，請說明權責主管檢查存取紀錄方式與頻率。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-039","EPF DB2 (Oracle)_權限帳號(admin)_存取日誌(access log)覆核紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-089","Oracle作業系統_異常存取警示_系統畫面","Oracle作業系統_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#86「Oracle作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-086；PBC-EC-085","Oracle作業系統_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-090","Linux作業系統_異常存取警示_系統畫面","Linux作業系統_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#87「Linux作業系統_特權帳號(superuser)_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-087；PBC-EC-086","Linux作業系統_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-091","EPF DB (Microsoft)_異常存取警示_系統畫面","EPF DB (Microsoft)_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#88「EPF DB (Microsoft)_權限帳號(admin)_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-088","EPF DB (Microsoft)_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-092","EPF DB2 (Oracle)_異常存取警示_系統畫面","EPF DB2 (Oracle)_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#89「EPF DB2 (Oracle)_權限帳號(admin)_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-089；PBC-EC-088","EPF DB2 (Oracle)_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-093","Oracle ERP-FINANCE_異常存取警示_系統畫面","Oracle ERP-FINANCE_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#84「Oracle ERP-FINANCE 權限帳號_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-084","Oracle ERP-FINANCE_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-094","Oracle MIS_異常存取警示_系統畫面","Oracle MIS_異常存取警示_系統畫面","1.(若有)請提供。
2.與PBC#85「Oracle MIS 權限帳號_存取日誌(access log)覆核紀錄」相關。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-085","Oracle MIS_異常存取警示_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-095","公司內部機敏資訊存取申請_系統畫面","公司內部機敏資訊存取申請_系統畫面","1.強調為「內部人員」申請「內部機敏資訊」。
2.須顯示簽核軌跡或覆核紀錄。
3.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-096","公司內部機敏資訊存取申請_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-096","內部人員暫時帳號權限申請_系統畫面","內部人員暫時帳號權限申請_系統畫面","1.與PBC#90「申請存取公司內部機敏資訊_系統畫面」相關。
2.與PBC「對外暫時性帳號 - 權限申請/設定與關閉實施證據」區別。
3.須顯示簽核軌跡或覆核紀錄。
4.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-090；PBC-EC-016","內部人員暫時帳號權限申請_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-097","內部人員暫時帳號權限停用_系統畫面","內部人員暫時帳號權限停用_系統畫面","1.與PBC#91「內部人員暫時帳號權限停用_系統畫面」相關。
2.與PBC「對外暫時性帳號 - 權限申請/設定與關閉實施證據」區別。
3.須顯示簽核軌跡或覆核紀錄。
4.若為螢幕截圖，須顯示截圖時間。",NA,NA,"PBC-EC-091；PBC-EC-016","內部人員暫時帳號權限停用_系統畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-098","委外廠商管理公司網路系統之預設帳號密碼_已修改證明","委外廠商管理公司網路系統之預設帳號密碼_已修改證明","1.若無，請提供來自委外廠商之樣本。
2.形式不拘；若為螢幕截圖，須顯示截圖時間。",NA,NA,"","委外廠商管理公司網路系統之預設帳號密碼_已修改證明","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-099","委外廠商管理公司網路系統之特權帳號_已清查證明","委外廠商管理公司網路系統之特權帳號_已清查證明","1.若無，請提供來自委外廠商之樣本。
2.建議顯示委外廠商管理之特權帳號異動(新增)。
3.形式不拘；若為螢幕截圖，須顯示截圖時間。",NA,NA,"","委外廠商管理公司網路系統之特權帳號_已清查證明","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-100","委外廠商對公司網路系統之權限帳號存取活動_已覆核證明","委外廠商對公司網路系統之權限帳號存取活動_已覆核證明","1.若無，請提供來自委外廠商之樣本。
2.形式不拘；若為螢幕截圖，須顯示截圖時間。",NA,NA,"","委外廠商對公司網路系統之權限帳號存取活動_已覆核證明","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-101","公司網路系統遭異常存取之警示通知","公司網路系統遭異常存取之警示通知","1.形式不拘；若為螢幕截圖，須顯示截圖時間。
2.來自委外廠商之通聯記錄亦可。",NA,NA,"","公司網路系統遭異常存取之警示通知","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-102","產品研發中心人員清單","產品研發中心人員清單","1.包含產品開發部、產品測試部、產品企劃部及企業e化部人員清單
2.請註明各人員之所屬團隊,如Server團隊/APP團隊/雲團隊/引擎團隊/或其他自行補充(若有跨團隊也一併註明)
3.請註明各人員之角色,如主管/程式開發/上版人員/資料庫管理者/應用系統管理員/作業系統管理者/測試人員/ＰＭ/或其他自行補充(若有兼任多角色也一併註明)",NA,NA,"","產品研發中心人員清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-103","IT年度預算與季更新記錄","IT年度預算與季更新記錄","由財務部門於Budget系統發起之預算調查及更新紀錄",NA,NA,"","IT年度預算與季更新記錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-104","系統清單","系統清單","ePF系統重分類後之系統清單
包含但不限於先前提供之「玩美移動_資訊循環樣本文件_Server盤點表」、「11-系統之重要性分級」及「53-IT資產風險評鑑清冊」",NA,NA,"","系統清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-105","請購單","請購單","請提供下列資訊請採購相關完整單據各一筆
1.硬體設備（如電腦、螢幕、伺服器或其他）
2.軟體授權（如微軟授權、資料庫授權或其他）
3.維護合約
4.費用類採購（如鍵盤、滑鼠、網路線或其他）",NA,NA,"","請購單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-106","報價單","報價單","",NA,NA,"","報價單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-107","採購單","採購單","",NA,NA,"","採購單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-108","驗收單","驗收單","",NA,NA,"","驗收單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
